PM1234;BFR-15;MS-1;1;15/01/2023 10:00;VS-1;2;16/01/2023 12:00;66.85
PM5678;B1058;ES-1;3;10/02/2023 08:00;MS-2;4;12/02/2023 09:00;52.53
PM9012;NG-3;JS-1;5;05/03/2023 06:00;ES-1;6;07/03/2023 07:00;501.34
PM3456;OFT-2;MS-2;2;01/04/2023 04:00;JS-1;3;03/04/2023 05:00;267.38
PM7890;MS-19;VS-1;1;03/05/2023 02:00;MS-1;2;04/05/2023 03:00;13.37
PM4321;BFR-15;ES-1;4;07/06/2023 12:00;JS-1;5;09/06/2023 13:00;668.46
PM8765;B1058;MS-1;3;11/07/2023 10:00;MS-2;4;13/07/2023 11:00;152.45
PM2109;NG-3;VS-1;2;15/08/2023 08:00;ES-1;3;17/08/2023 09:00;367.65
PM6543;OFT-2;JS-1;1;19/09/2023 06:00;MS-1;2;21/09/2023 07:00;520.38
PM0987;MS-19;MS-2;1;23/10/2023 04:00;VS-1;2;25/10/2023 05:00;133.69
